id,numeric_score,qualitative_response,model_used,timestamp_utc,prompt_tokens,completion_tokens,total_tokens
14,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:19:44.820526+00:00,146,40,186
15,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate, which can contribute to increased crime and safety concerns. However, the presence of commercial",llama-3.1-8b-instant,2026-03-04T03:19:47.167464+00:00,146,40,186
16,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the relatively low median household income and high percentage",llama-3.1-8b-instant,2026-03-04T03:19:49.500127+00:00,142,40,182
17,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk, with a mix of vacant and abandoned properties potentially contributing to higher crime rates. However, the presence of services and everyday retail options",llama-3.1-8b-instant,2026-03-04T03:19:51.848923+00:00,146,40,186
18,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and low median household income, which may indicate socioeconomic challenges. However, the presence of mixed commercial options and",llama-3.1-8b-instant,2026-03-04T03:19:54.210130+00:00,142,40,182
19,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location, high vacancy rate, and lower median household income. However, the presence of commercial options and services may",llama-3.1-8b-instant,2026-03-04T03:19:56.580598+00:00,146,40,186
20,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:19:58.940059+00:00,146,40,186
21,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location, high vacancy rate, and lower median household income. However, the presence of commercial options and services may",llama-3.1-8b-instant,2026-03-04T03:20:01.301332+00:00,146,40,186
22,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:03.690732+00:00,146,40,186
23,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the high percentage of residents identifying as Black may",llama-3.1-8b-instant,2026-03-04T03:20:06.020017+00:00,142,40,182
24,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas, but also a notable presence of vacant or abandoned properties, which can contribute to a sense of neglect and potential",llama-3.1-8b-instant,2026-03-04T03:20:08.433086+00:00,157,40,197
25,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:10.815847+00:00,146,40,186
26,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:13.179589+00:00,146,40,186
27,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:15.537316+00:00,146,40,186
28,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location, high vacancy rate, and lower median household income. However, the presence of commercial options and services may",llama-3.1-8b-instant,2026-03-04T03:20:17.893593+00:00,146,40,186
29,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the urban setting and relatively low median household income",llama-3.1-8b-instant,2026-03-04T03:20:20.249980+00:00,142,40,182
30,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:22.607297+00:00,146,40,186
31,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to the presence of vacant or abandoned properties, which can be indicative of higher crime rates. However, the area also has a",llama-3.1-8b-instant,2026-03-04T03:20:24.946912+00:00,146,40,186
32,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:27.295297+00:00,146,40,186
33,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the urban setting and relatively low median household income",llama-3.1-8b-instant,2026-03-04T03:20:29.648772+00:00,142,40,182
34,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the urban setting and relatively low median household income",llama-3.1-8b-instant,2026-03-04T03:20:32.008092+00:00,142,40,182
35,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:34.515927+00:00,146,40,186
36,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the urban setting and relatively low median household income",llama-3.1-8b-instant,2026-03-04T03:20:36.871205+00:00,142,40,182
37,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that contribute to a relatively stable environment. However, the urban setting and higher crime rates often associated with urban areas",llama-3.1-8b-instant,2026-03-04T03:20:39.217556+00:00,142,40,182
38,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of amenities such as parks, schools, and local businesses that suggest a sense of community, but also concerns about vacant or abandoned properties that",llama-3.1-8b-instant,2026-03-04T03:20:41.579312+00:00,146,40,186
39,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:43.942469+00:00,146,40,186
40,8.0,"8

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that contribute to a relatively stable environment. However, the urban setting and notable racial and ethnic diversity may also contribute",llama-3.1-8b-instant,2026-03-04T03:20:46.356433+00:00,153,40,193
41,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of urban amenities and a strong sense of community. The presence of parks, schools, and local businesses suggests a well-maintained and",llama-3.1-8b-instant,2026-03-04T03:20:48.722523+00:00,142,40,182
42,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to the presence of vacant or abandoned properties, which can be indicative of higher crime rates. However, the relatively high median household",llama-3.1-8b-instant,2026-03-04T03:20:51.063845+00:00,146,40,186
43,8.0,"8

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the high percentage of residents identifying as Black may",llama-3.1-8b-instant,2026-03-04T03:20:53.406789+00:00,142,40,182
44,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:20:55.768495+00:00,146,40,186
45,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to the presence of vacant or abandoned properties, which can be indicative of higher crime rates. However, the relatively high median household",llama-3.1-8b-instant,2026-03-04T03:20:58.116623+00:00,146,40,186
46,8.0,"8

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that contribute to a relatively stable environment. However, the urban setting and diverse population may also lead to higher crime",llama-3.1-8b-instant,2026-03-04T03:21:00.466756+00:00,153,40,193
47,8.0,"8

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the high percentage of residents identifying as Black may",llama-3.1-8b-instant,2026-03-04T03:21:02.840074+00:00,142,40,182
48,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that contribute to a relatively stable environment. However, the urban setting and relatively high crime rates in similar areas may",llama-3.1-8b-instant,2026-03-04T03:21:05.189124+00:00,153,40,193
49,6.0,"6

This neighborhood is perceived as relatively safe, with a low crime risk due to its stable demographics and strong community presence. The high percentage of residents identifying as Black and the relatively high median household income",llama-3.1-8b-instant,2026-03-04T03:21:07.545349+00:00,142,40,182
50,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the urban setting and relatively high crime rates in",llama-3.1-8b-instant,2026-03-04T03:21:09.895192+00:00,142,40,182
51,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the high percentage of residents identifying as Black may",llama-3.1-8b-instant,2026-03-04T03:21:12.230662+00:00,142,40,182
52,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the presence of vacant or abandoned properties could indicate",llama-3.1-8b-instant,2026-03-04T03:21:14.609901+00:00,146,40,186
53,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and higher crime rates often associated with urban",llama-3.1-8b-instant,2026-03-04T03:21:16.990041+00:00,142,40,182
54,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the high percentage of residents identifying as Black may be associated",llama-3.1-8b-instant,2026-03-04T03:21:19.356502+00:00,142,40,182
55,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent and established residents contributing to a stable environment. The presence of a high median household income and occupied housing units suggests a sense of",llama-3.1-8b-instant,2026-03-04T03:21:21.710798+00:00,153,40,193
56,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a relatively stable environment. However, the lower median household income and high percentage of Hispanic residents",llama-3.1-8b-instant,2026-03-04T03:21:24.057544+00:00,142,40,182
57,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a relatively stable environment. However, the urban setting and lower median household income could be factors",llama-3.1-8b-instant,2026-03-04T03:21:26.599596+00:00,142,40,182
58,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to its urban location and high vacancy rate of abandoned properties, which can be a breeding ground for illicit activities. However, the",llama-3.1-8b-instant,2026-03-04T03:21:29.057535+00:00,146,40,186
59,6.0,"6

This neighborhood is perceived as having a moderate level of crime risk due to the presence of vacant or abandoned properties, which can be a magnet for illicit activities. However, the area's mixed commercial",llama-3.1-8b-instant,2026-03-04T03:21:31.517990+00:00,146,40,186
60,6.0,"6

This neighborhood is perceived as having a moderate level of safety, with some concerns due to the presence of vacant or abandoned properties, which can be indicative of higher crime rates. However, the mixed",llama-3.1-8b-instant,2026-03-04T03:21:33.865336+00:00,146,40,186
61,6.0,"6

This neighborhood is perceived as relatively safe, with a low crime risk due to its urban setting and a high percentage of occupied housing units. However, the area's mixed commercial profile and lower median",llama-3.1-8b-instant,2026-03-04T03:21:36.221340+00:00,142,40,182
62,6.0,"6

This neighborhood is perceived as relatively safe, with a low crime risk due to its urban setting and a high percentage of occupied housing units. However, the area's mixed commercial profile and relatively low",llama-3.1-8b-instant,2026-03-04T03:21:38.559941+00:00,142,40,182
63,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a relatively stable environment. However, the urban setting and relatively low median household income may also",llama-3.1-8b-instant,2026-03-04T03:21:40.915773+00:00,142,40,182
64,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively low median household income may contribute",llama-3.1-8b-instant,2026-03-04T03:21:43.264963+00:00,142,40,182
65,6.0,"6

This neighborhood is perceived as relatively safe, with a low crime risk due to its urban setting and a high percentage of occupied housing units. However, the area's mixed commercial profile and relatively low",llama-3.1-8b-instant,2026-03-04T03:21:45.605998+00:00,142,40,182
66,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:21:48.422874+00:00,142,40,182
67,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. However, the urban setting and diverse population may also lead to some",llama-3.1-8b-instant,2026-03-04T03:21:50.906069+00:00,153,40,193
68,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of community and activity. However, the urban setting and relatively high population density may lead to",llama-3.1-8b-instant,2026-03-04T03:21:53.264439+00:00,142,40,182
69,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:21:55.621067+00:00,142,40,182
70,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the urban setting and relatively high population density may",llama-3.1-8b-instant,2026-03-04T03:21:57.966048+00:00,142,40,182
71,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:00.310360+00:00,142,40,182
72,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. However, the urban setting and diverse population may also lead to some",llama-3.1-8b-instant,2026-03-04T03:22:02.654655+00:00,153,40,193
73,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:05.013057+00:00,142,40,182
74,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:07.360794+00:00,142,40,182
75,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that may contribute to a sense of activity and community. However, the presence of vacant or abandoned properties could indicate",llama-3.1-8b-instant,2026-03-04T03:22:09.708520+00:00,146,40,186
76,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a moderate level of activity. The presence of a diverse population and a relatively high median household income may",llama-3.1-8b-instant,2026-03-04T03:22:12.053642+00:00,153,40,193
77,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:14.413652+00:00,142,40,182
78,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and high population density may also contribute to",llama-3.1-8b-instant,2026-03-04T03:22:16.765197+00:00,142,40,182
79,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:19.117902+00:00,142,40,182
80,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:21.466666+00:00,142,40,182
81,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. The presence of a diverse population and a moderate household income may also",llama-3.1-8b-instant,2026-03-04T03:22:23.823953+00:00,153,40,193
82,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:26.177754+00:00,142,40,182
83,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and high population density may also contribute to",llama-3.1-8b-instant,2026-03-04T03:22:28.530283+00:00,142,40,182
84,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:30.880416+00:00,142,40,182
85,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas that contribute to a sense of activity and community. However, the urban setting and diverse population may also lead to",llama-3.1-8b-instant,2026-03-04T03:22:33.365983+00:00,153,40,193
86,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively high population density may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:35.723736+00:00,142,40,182
87,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and high population density may also contribute to",llama-3.1-8b-instant,2026-03-04T03:22:38.181828+00:00,142,40,182
88,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent residents and a strong presence of commercial activity. The high median household income and occupied housing units suggest a stable community. However,",llama-3.1-8b-instant,2026-03-04T03:22:40.636938+00:00,153,40,193
89,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent residents and a strong presence of commercial activity. The high median household income and occupied housing units suggest a stable community. However,",llama-3.1-8b-instant,2026-03-04T03:22:43.021563+00:00,153,40,193
90,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent residents and a strong presence of commercial establishments. The high median household income and occupied housing units suggest a stable community. However,",llama-3.1-8b-instant,2026-03-04T03:22:45.409691+00:00,153,40,193
91,6.0,"6

The perceived safety of this neighborhood is moderate, with a mix of racial groups and a relatively high median household income suggesting a stable community. However, the extremely high median household income is likely an",llama-3.1-8b-instant,2026-03-04T03:22:47.763861+00:00,156,40,196
92,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. However, the urban setting and relatively low median household income may contribute",llama-3.1-8b-instant,2026-03-04T03:22:50.108786+00:00,159,40,199
93,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of racial groups and a moderate household income, suggesting a stable community. The presence of parks, schools, and local amenities also contributes to",llama-3.1-8b-instant,2026-03-04T03:22:52.487136+00:00,153,40,193
94,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of racial diversity and a relatively high median household income suggesting a stable community. However, the presence of a significant percentage of Black and Hispanic",llama-3.1-8b-instant,2026-03-04T03:22:54.848799+00:00,159,40,199
95,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas, but also a notable presence of vacant or abandoned properties, which can contribute to a sense of neglect and potential",llama-3.1-8b-instant,2026-03-04T03:22:57.218904+00:00,157,40,197
96,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas that contribute to a sense of community and activity. However, the urban setting and notable Hispanic population may also contribute",llama-3.1-8b-instant,2026-03-04T03:22:59.592739+00:00,153,40,193
97,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of established residents and local amenities contributing to a sense of community. However, the urban setting and notable Hispanic population may also indicate potential areas",llama-3.1-8b-instant,2026-03-04T03:23:01.958849+00:00,153,40,193
98,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of community and activity. The presence of a notable Asian population and a relatively high median household",llama-3.1-8b-instant,2026-03-04T03:23:04.316957+00:00,153,40,193
99,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of community and activity. The presence of a notable Hispanic population and a relatively high median household",llama-3.1-8b-instant,2026-03-04T03:23:06.656018+00:00,153,40,193
100,6.0,"6

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of community and activity. The presence of a notable Black population and a relatively high median household",llama-3.1-8b-instant,2026-03-04T03:23:08.998934+00:00,153,40,193
101,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of residential and commercial areas that contribute to a relatively stable environment. However, the urban setting and diverse population may also lead to higher crime",llama-3.1-8b-instant,2026-03-04T03:23:11.348872+00:00,153,40,193
102,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. However, the urban setting and relatively high crime rates in similar areas",llama-3.1-8b-instant,2026-03-04T03:23:13.709154+00:00,153,40,193
103,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. However, the urban setting and diverse population may also lead to some",llama-3.1-8b-instant,2026-03-04T03:23:16.168889+00:00,153,40,193
104,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent residents and a strong presence of commercial establishments. The high median household income and occupied housing units suggest a stable community. However,",llama-3.1-8b-instant,2026-03-04T03:23:18.628946+00:00,153,40,193
105,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent residents and a strong presence of commercial establishments. The high median household income and occupied housing units suggest a stable community. However,",llama-3.1-8b-instant,2026-03-04T03:23:20.991165+00:00,153,40,193
106,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. The high median household income and occupied housing units suggest a stable and",llama-3.1-8b-instant,2026-03-04T03:23:23.502915+00:00,153,40,193
107,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of residential and commercial areas contributing to a sense of activity and community. The high median household income and occupied housing units suggest a stable and",llama-3.1-8b-instant,2026-03-04T03:23:25.891810+00:00,153,40,193
108,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. The high median household income and predominantly White population may also contribute to",llama-3.1-8b-instant,2026-03-04T03:23:28.259276+00:00,142,40,182
109,6.0,"6

This neighborhood is perceived as relatively safe, with a low crime risk due to its affluent demographics and high median household income. However, the presence of vacant or abandoned properties may contribute to a sense",llama-3.1-8b-instant,2026-03-04T03:23:30.611094+00:00,146,40,186
110,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of services and everyday retail options suggests a well-maint",llama-3.1-8b-instant,2026-03-04T03:23:33.066950+00:00,142,40,182
111,6.0,"6

This neighborhood is perceived as moderately safe, with a mix of affluent and neglected areas. The presence of vacant or abandoned properties may contribute to a sense of neglect and potential crime risk. However,",llama-3.1-8b-instant,2026-03-04T03:23:35.428478+00:00,146,40,186
112,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of a mixed commercial profile and occupied housing units may also",llama-3.1-8b-instant,2026-03-04T03:23:37.785375+00:00,142,40,182
113,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of services and everyday retail options suggests a well-maint",llama-3.1-8b-instant,2026-03-04T03:23:40.149624+00:00,142,40,182
114,8.0,"8

This neighborhood is perceived as relatively safe, with a high median household income and a predominantly White population, suggesting a stable and affluent community. However, the urban setting may still pose some risks,",llama-3.1-8b-instant,2026-03-04T03:23:42.505796+00:00,142,40,182
115,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of a mixed commercial profile and occupied housing units may also",llama-3.1-8b-instant,2026-03-04T03:23:44.943366+00:00,142,40,182
116,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The predominantly White population and well-maintained housing units also contribute",llama-3.1-8b-instant,2026-03-04T03:23:47.309776+00:00,142,40,182
117,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of services and everyday retail options suggests a well-maint",llama-3.1-8b-instant,2026-03-04T03:23:49.758064+00:00,142,40,182
118,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of affluent residents and a strong presence of commercial activity. The high median household income and occupied housing units suggest a stable community. However,",llama-3.1-8b-instant,2026-03-04T03:23:52.170546+00:00,153,40,193
119,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of a mixed commercial profile and occupied housing units may also",llama-3.1-8b-instant,2026-03-04T03:23:54.556779+00:00,142,40,182
120,8.0,"8

This neighborhood is perceived as relatively safe, with a mix of commercial and residential areas contributing to a sense of activity and community. The high median household income and predominantly White population may also contribute to",llama-3.1-8b-instant,2026-03-04T03:23:56.954565+00:00,142,40,182
121,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of services and everyday retail options suggests a well-maint",llama-3.1-8b-instant,2026-03-04T03:23:59.298972+00:00,142,40,182
122,6.0,"6

This neighborhood is perceived as relatively safe, with a low crime risk due to its affluent demographics and high median household income. However, the presence of vacant or abandoned properties may contribute to a sense",llama-3.1-8b-instant,2026-03-04T03:24:01.742240+00:00,146,40,186
123,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The presence of services and everyday retail options suggests a well-maint",llama-3.1-8b-instant,2026-03-04T03:24:04.094634+00:00,142,40,182
124,8.0,"8

This neighborhood is perceived as relatively safe, with a low crime rate likely due to its affluent demographic and high median household income. The predominantly White population and well-maintained housing units also contribute",llama-3.1-8b-instant,2026-03-04T03:24:06.556033+00:00,142,40,182
